name,latitude,longitude,time_frame,menu_items
Twin Peaks,30.1991,-97.7663,"2PM  - 7PM, 10PM - 11PM",#2.99 10 oz. twin peaks drafts; $3.99 22 oz. twin peaks drafts; $1 off liquor/wine/drafts/cocktails; $2/$4/$6 select apps
Satellite...Eat. Drink. Orbit.,30.20295,-97.87876,"MON-THU 4PM - 7PM, FRI & SAT 3-6:30, SUN 2-CLOSE","$4 off all bottles of wine; $2 off all margs, craftails and appetizers; $1 off all bar drinks, beer and wine"
Galaxy Cafe,30.18409,-97.84833,3PM - 7PM,$12 bottle of wine; $2 beers; $3 wine; $1 lone star; $2 sweet fries; $1 cookies
Little Woodrow's Southpark Meadows,30.16622,-97.7933,3PM - 7PM (All day wednesday),$4 well drinks; $5 domestic mugs
Texican Cafe,30.14575,-97.83407,3PM - 7PM,"$1 off beer, wine, house martinis, margaritas & tequila shots; $2 off select appetizers; $3 house pours"
Clark's Oyster Bar,30.2731,-97.75718,3PM - 5PM,50 cents off oysters; half off martinis and burgers; $5 oyster shooters and draft beers
Crown & Anchor Pub,30.2927,-97.73564,All day,different specials each day
Easy Tiger at the Linc,30.32745,-97.7072,4:30PM - 6:30PM,$5 sausages; $3 small pretzel and beer cheese; $5 select cocktail and wins; $4 draft beers; $10 select pitchers
Hole in the Wall,30.2903,-97.74165,3PM - 8PM,select drink specials
Jeffery's,30.28061,-97.75903,5PM - 6PM,25% off select food; $2 off drinks
Moody's Bar and Kitchen,30.29015,-97.74162,4PM - 7PM,$6 craft cocktails; $5 frozens; $4 tall white claws; $1 off draft beers; $5 spinach artichoke dip; $5 chips and queso or guacamole; $1 wings
Olive & June,30.30749,-97.75125,5PM - 6:30PM,1/2 off all liquor and beer; 1/2 off antipasta
Uncle Nicky's,30.30462,-97.7266,2PM - 5PM,$1 miller ponies & peroni on draft; $4 shots of fernet & peroni; $6 features spritzes
Vamonos,30.30885,-97.71532,4PM - 6PM,$3 off appetizers; $2 off cocteles y vino; $1 off cervezas
24 Diner,30.27199,-97.75426,2:30PM - 6:30PM,Some food specials; $3 well liquor; $5 house red or white glass; $2.50 canned beer
ATX Cocina,30.26493,-97.74928,Mon - Thurs 5PM - 6PM; Fri - Sun 4PM - 5PM,$8 tacos del dia; $10 cocina guacamole; $8 margarita de la casa
Banger's Sausage House & Beer Garden,30.25894,-97.73847,5PM - 6PM,$3 snacks; $5 sausages; $4 beer; & more
Bar 508 Mezcalerita,30.26864,-97.73666,4PM - 6PM,"Select cocktails under $10; discount tapas; $3 modelo, sol, & miller lite; $7 chardonnay & rose glasses"
Barchi Sushi,30.26529,-97.74559,Mon - Sat 4PM - 7PM; Sun all day,"discounts on appetizers, maki rolls, sushi bar, nigiri, beer, sakes; $6 martinis & cocktails"
Better Half Coffee & Cocktails,30.2713,-97.7586,3PM - 6PM,$3 beer cans; $5 sangria; $5 burgers
Cheer Up Charlies,30.26962,-97.73633,4PM - 6PM,$2 tall boys; discounted select cocktails
Devil May Care,30.26964,-97.74749,5PM - 6:30PM,"discounts on raw oysters, caviar, tartar, snacks, & drinks"
Dumont's Down Low,30.26687,-97.74543,Mon - Fri 5PM - 7PM; Sun 5PM - 2AM,$5 - $7 selected cocktails; $3 miller lite & lonestar; $6 house red & white wine glasses
Firehouse Lounge,30.26818,-97.74108,Wed - Sun 5PM - 8PM,$2 off all drinks & food (excluding canned beer & snacks)
Geraldine's,30.26007,-97.73926,5PM - 6PM,$7 select cocktails; discounts on select food
Halcyon,30.26697,-97.74571,"Mon 4PM - 8PM, 12AM - 2AM; Tues - Thurs 4PM - 8PM; Sun all day",$2.50 wells & domestics
Half Step,30.22862,-97.73859,4PM - 7PM,$8 select cocktails; $2 off all draft beer
Irene's,30.26982,-97.75104,3PM - 6PM,$3 draft beers; $4 well cans; $5 frozens & wine; $6 snacks; free popcorn
Josephine House,30.28059,-97.75903,4PM - 6PM,25% off selected items & $2 off alcoholic beverages
La Condesa,30.26561,-97.74779,Wed - Sat all day,half off all alcoholic beverages; appetizer specials
Lamberts,30.26523,-97.7479,5PM - 7PM,"$3 off specialty cocktails, draft beer, & wine by the glass plus food specials; Monday night: half off ribs and 2oz pours of whiskey for the price of a 1 oz pour"
Las Perlas,30.26769,-97.73863,4PM - 8PM,$4 carta blanca; $7 draft margarita; $7 draft paloma; $7 tequila fix
Maiko Sushi Lounge,30.26417,-97.74146,5PM - close,"discounted nigiri, tapas, rolls, beers, sake"
North Italia,30.2658,-97.74891,Mon all day; Tue - Thur 3PM - 6PM,1/2 off bottles of wine; discounted snacks; $5 beer; & more
